dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
3,LeftRight,4.6277,3.5174,10.3992,-702.9407,156.5141,435.2191
3,LeftRight,4.3884,4.9962,10.8921,-818.2669,188.778,580.7498
3,LeftRight,4.3071,5.6183,10.7821,-1021.4607,179.1675,895.151
3,LeftRight,4.1874,4.3597,11.0501,-908.1938,4.1188,1187.5853
3,LeftRight,3.5318,1.4022,11.1027,-853.2767,-363.8267,824.4451
3,LeftRight,3.5414,5.1111,7.9059,-586.928,-455.1266,637.04
3,LeftRight,2.8905,8.4897,6.1591,-510.0439,-114.6397,1218.4763
3,LeftRight,2.656,8.3031,10.8156,-553.2912,-137.2931,1796.4802
3,LeftRight,1.9525,10.0068,10.8682,-202.5073,-899.2698,2249.5474
3,LeftRight,-1.1294,13.0792,5.7763,594.4791,-1341.3536,3129.5964
3,LeftRight,-3.3787,12.8255,0.3206,1407.2543,-675.4821,4648.0581
3,LeftRight,-8.7912,6.944,1.7468,619.8784,691.2708,5631.0767
3,LeftRight,-13.7827,-4.13,9.3224,-1075.005,921.2368,5217.1377
3,LeftRight,-16.611,-10.5954,15.2136,-2171.9768,-15.7887,5386.0083
3,LeftRight,-16.2281,-14.9169,8.1069,1107.9553,-1748.4276,5355.8042
3,LeftRight,-15.8979,-22.5547,6.5133,-3272.3811,-416.6846,4090.6479
3,LeftRight,-12.1508,-30.6138,4.4746,-48.0526,13.7293,1529.4452
3,LeftRight,-8.9157,-21.3344,4.8814,-2063.5154,1223.2815,-886.227
3,LeftRight,-6.3841,-10.2509,7.0158,-1591.2271,799.0459,-551.9183
3,LeftRight,-5.0297,-9.2842,6.585,-477.78,2.0594,-32.2639
3,LeftRight,-4.9962,-13.6487,4.3071,98.1646,-518.9679,-227.9065
3,LeftRight,-4.4028,-13.9741,1.5793,550.5453,-504.5522,-733.8317
3,LeftRight,-3.326,-10.203,1.8903,469.5424,-174.3622,-770.2143
3,LeftRight,-3.3165,-10.2221,4.0534,665.1851,-119.445,-748.9339
3,LeftRight,-5.2594,-15.4002,7.1354,371.3778,-455.8131,-1347.5319
3,LeftRight,-6.2118,-16.0558,5.6901,1541.115,-1217.1034,-2230.3264
3,LeftRight,-6.5133,-14.0411,2.3163,1801.9719,-1313.8949,-2884.5283
3,LeftRight,-6.1974,-11.8158,1.2203,1298.1062,-647.337,-3325.9253
3,LeftRight,-6.0682,-9.9494,2.723,737.9504,202.5073,-3754.9663
3,LeftRight,-5.8002,-5.8863,5.0871,275.2727,945.263,-3549.7131
3,LeftRight,-4.9914,-4.4698,7.6475,546.4266,1002.9261,-2953.8611
3,LeftRight,-3.5127,-2.6704,6.6903,669.9904,632.9212,-2767.8289
3,LeftRight,-2.7757,-1.4931,5.7093,-27.4586,961.7382,-2484.3186
3,LeftRight,-3.2064,-4.4937,8.2122,-232.7118,1044.8005,-2817.2544
3,LeftRight,-3.9338,-4.6564,9.5186,-55.6037,707.7459,-3606.0032
3,LeftRight,-4.2736,0.5791,7.2981,1128.5493,76.1977,-4129.7764
3,LeftRight,-3.7998,5.2929,6.1735,2457.5466,-641.8452,-4457.9067
3,LeftRight,-3.3739,10.2078,5.4604,1632.415,-256.0516,-4365.9209
3,LeftRight,-3.4457,12.5384,4.8574,503.1792,711.1782,-3929.3286
3,LeftRight,-3.8189,13.9358,8.3605,-849.8444,1928.2816,-3711.719
3,LeftRight,-4.7856,17.5298,11.2319,-1204.0605,2308.5835,-3356.1299
3,LeftRight,-4.6086,17.9127,13.7683,-978.8998,2141.7722,-2499.4209
3,LeftRight,-2.9001,19.535,19.2096,-1130.6088,1397.6438,-722.8481
3,LeftRight,-1.4309,13.9214,19.9131,310.9689,-212.1178,1211.6117
4,UpDown,0.0718,-5.9246,7.4991,113.9533,-115.3262,105.7157
4,UpDown,0.1914,-6.0873,7.5374,-12.3564,8.2376,97.4781
4,UpDown,0.3254,-6.652,7.9059,-16.4752,48.739,120.8179
4,UpDown,0.5121,-7.9059,8.5376,-11.6699,158.5735,63.1548
4,UpDown,0.7896,-7.8772,10.2652,60.409,351.4703,153.0818
